Time,Command,X,Y,Distance range 0,Distance range 1,Distance range 2,Distance range 3,Distance range 4,Distance range 5,Distance range 6,Distance range 7,Distance range 8,Distance range 9,Distance range 10,Distance range 11
11.458188,s,,,2128.0,3704.5,4153.25,2703.0,0.0,7808.75,0.0,2689.0,2234.75,2404.5,3336.75,5540.5
11.517953,s,,,2102.75,3682.25,4137.0,2708.5,0.0,1887.75,1934.0,2678.25,2233.0,2405.75,3356.75,5546.0
11.576141,s,,,2234.25,3667.75,4140.25,4223.75,0.0,7808.75,0.0,3007.5,2229.75,2411.0,3403.5,5580.25
11.633618,w,,,2449.0,3664.0,3258.75,2692.25,2129.75,6373.5,0.0,2965.25,2238.5,2433.5,3446.25,5566.0
11.690937,w,,,1979.0,3713.75,3263.75,4234.0,2115.5,0.0,0.0,2810.75,2247.5,2403.0,3487.75,5549.0
11.748973,w,,,2095.75,3652.25,3234.25,2701.75,0.0,7797.5,1945.25,2673.5,2229.25,2413.75,3385.25,5546.0
11.807618,w,,,1983.5,3688.75,4127.0,2697.75,6422.5,6495.25,0.0,2982.5,2233.0,2440.0,3438.5,5566.0
11.865959,w,,,2433.5,3652.25,3983.75,4230.5,2155.5,0.0,0.0,2696.25,2253.0,2444.0,3484.25,4206.75
11.923904,w,,,2420.75,3619.25,3261.75,4223.75,2157.5,0.0,0.0,2695.75,2270.25,2410.5,3640.75,5509.75
11.982069,w,,,2399.75,3670.5,3252.75,4237.5,2177.75,3880.0,0.0,2934.5,2269.75,2450.25,3517.5,5487.5
12.039974,w,,,2029.5,3635.75,3236.25,4229.0,2187.5,3901.75,0.0,2936.0,2252.25,2442.25,3540.75,3130.5
12.097085,w,,,2011.75,3624.25,3956.5,4223.75,2196.75,3919.5,0.0,2858.5,2274.5,2423.0,3564.5,3174.0
12.152907,w,,,1975.5,3606.75,4066.0,4234.0,2218.25,3192.75,4099.5,2932.75,2276.0,2445.75,3585.5,5016.5
12.210895,w,,,1968.25,3609.25,4044.0,4223.75,0.0,0.0,0.0,2945.75,2277.5,2448.5,3576.75,5014.25
12.268731,w,,,1946.25,3593.0,4055.0,2734.0,0.0,3937.25,4234.0,2954.5,2282.25,2450.25,3583.0,4355.5
12.326081,w,,,1932.0,3565.75,3163.75,4212.0,3148.75,7905.75,2063.0,2952.25,2262.5,2473.75,3605.5,5379.5
12.383632,w,,,1906.75,3519.75,4061.25,4213.5,3151.5,4025.25,2078.25,2965.25,2115.5,2473.75,3621.75,5353.0
12.441802,w,,,1790.0,3563.25,4033.0,4203.5,3147.0,4193.25,4093.25,2983.25,2137.0,2475.0,3611.75,5355.75
12.499701,w,,,1878.5,3504.75,4044.0,4208.5,3057.25,5744.75,4328.5,2989.25,2137.0,2516.75,3599.0,5363.5
12.557961,w,,,1878.25,3482.0,4031.5,4175.0,3230.25,0.0,0.0,2945.75,2133.5,2511.0,3767.5,5342.5
12.615926,w,,,1843.25,3509.5,3985.25,4186.5,3100.5,5288.25,0.0,2992.5,2140.5,2525.0,3549.0,5303.75
12.674217,w,,,1824.75,3477.5,4039.25,4171.5,0.0,0.0,2216.0,2949.75,2131.75,2522.25,3644.75,2924.0
12.732523,w,,,1802.25,3491.25,4022.25,4201.75,3049.5,5682.0,4208.5,2870.75,2152.75,2520.25,3729.75,5262.75
12.790475,w,,,1782.0,3456.25,4006.75,4222.0,3167.5,8011.25,5534.75,3007.5,2162.0,2526.25,3649.75,2917.75
12.848328,w,4.5,23.5,1767.75,3450.75,3993.0,4180.0,3054.75,4135.25,0.0,2976.0,2160.25,2524.0,3748.5,3926.75
12.906624,w,3.0,22.0,1733.75,3398.25,3994.5,4156.75,3258.75,5705.75,6167.5,3007.5,2165.5,2535.75,3709.75,5232.5
12.964373,w,2.0,20.5,1710.0,3375.75,3991.5,4215.25,3216.75,6314.25,4254.75,3040.0,2172.75,2538.75,3699.25,5195.25
13.022318,w,3.5,21.0,1699.5,3368.25,3974.75,4143.5,3182.5,6325.25,4273.75,3034.75,2165.5,2560.0,3709.75,5178.0
13.080319,w,3.0,21.5,1677.0,3323.5,3980.75,4140.25,3131.25,6422.5,4314.25,3055.5,2169.25,2582.25,3727.0,5215.0
13.13874,w,2.0,21.5,1647.0,3364.0,3977.75,4143.5,3123.25,6422.5,4319.75,3057.25,2175.0,2568.0,3711.0,3669.25
13.197069,w,2.0,21.0,1587.0,3359.75,3977.75,4180.0,2398.0,0.0,2379.0,2990.75,2202.75,2585.25,3852.75,5185.5
13.255471,w,86.5,19.5,1632.75,3353.5,3944.5,4158.25,2318.25,4532.5,4665.25,3016.75,2208.5,2600.25,4045.5,3635.75
13.313226,w,,,1646.75,3313.25,3956.5,4137.0,2321.75,5900.25,0.0,3040.0,2211.0,2644.5,3825.75,3169.25
13.371308,w,,,1650.0,3298.0,3958.0,4132.0,2376.25,6464.5,0.0,3069.5,2205.0,2599.0,3781.25,3112.25
13.428678,w,,,1459.0,3282.75,3938.75,4178.25,2344.75,7168.5,0.0,2987.5,2208.25,2599.75,3756.75,3099.75
13.486889,w,,,1439.5,3276.75,3935.75,4163.25,0.0,6558.0,0.0,2991.75,2212.25,2602.25,3781.25,5067.75
13.544494,w,,,1421.25,3258.75,3920.75,4165.0,0.0,4312.5,0.0,3084.5,2215.0,2611.0,3817.25,3569.5
13.602355,w,,,1391.5,3257.75,3922.25,4168.25,0.0,6522.5,5693.75,2996.75,2217.25,2631.5,3661.25,4977.75
13.660389,w,87.5,7.5,1375.5,3245.0,3931.25,4229.0,2374.25,6650.25,5670.0,2995.75,2222.25,2616.25,3343.0,4756.0
13.718094,w,,,1385.0,3237.25,3890.0,4166.5,2384.25,6753.75,0.0,3002.5,2226.0,2644.5,3235.25,4696.5
13.776255,w,88.0,6.5,1634.5,3186.25,3891.5,4148.5,2411.5,4343.0,0.0,3021.0,2310.75,2640.0,4040.75,4711.25
13.834878,w,,,1352.5,3213.0,3881.5,4151.75,3253.75,8309.25,0.0,3029.75,2359.5,2665.5,4011.25,4709.0
13.893398,w,90.0,6.0,1620.75,3165.5,3878.5,4122.25,3275.75,0.0,4503.25,3059.0,2335.0,2689.0,3979.25,4993.75
13.951177,w,,,1753.25,3174.0,3823.0,4143.5,3258.75,6605.75,6314.25,3030.5,2520.25,2678.25,3556.0,4908.75
14.009256,w,,,1589.0,3140.5,3858.5,4106.0,2908.25,6078.0,4579.75,3090.75,2516.75,2697.0,4077.25,4650.75
14.067201,w,,,1588.5,3156.25,3864.25,4120.5,2913.75,5855.75,0.0,3059.0,2516.75,2683.5,3943.0,4902.0
14.124969,w,,,1698.75,3126.75,3191.0,4061.25,3319.25,6654.5,4913.5,2991.75,2524.5,2708.5,4025.25,4713.25
14.18277,w,,,1563.5,3141.5,3806.25,4090.0,3367.25,2995.0,6274.25,3043.5,2522.75,2691.5,3932.75,4897.5
14.240548,w,,,1604.25,3114.0,3167.5,4069.25,3132.25,6252.5,0.0,3084.5,2531.75,2703.0,4053.5,4382.75
